phase,trial_num,bds_count,listen_start,listen_end,answer_stamp,correct
1,1,3,1643371824.087,1643371826.146,1643371832.977,1
1,2,4,1643371835.977,1643371839.057,1643371851.896,1
1,3,5,1643371855.726,1643371859.856,1643371875.753,1
1,4,6,1643371879.236,1643371884.256,1643371896.918,0
1,5,6,1643371900.356,1643371905.566,1643371921.762,1
1,6,7,1643371924.636,1643371930.706,1643371957.054,1
1,7,8,1643371959.665,1643371966.756,1643372033.452,0
1,8,8,1643372036.014,1643372043.025,1643372076.767,0
1,9,7,1643372079.339,1643372085.45,1643372108.432,1
1,10,8,1643372111.48,1643372118.52,1643372143.242,0
1,11,8,1643372145.9,1643372153.08,1643372189.698,0
1,12,7,1643372192.555,1643372198.735,1643372220.264,1
2,1,3,1643372423.907,1643372425.826,1643372431.655,1
2,2,4,1643372434.497,1643372437.727,1643372444.92,1
2,3,5,1643372448.186,1643372452.306,1643372463.826,1
2,4,6,1643372468.806,1643372473.945,1643372490.159,1
2,5,7,1643372496.446,1643372502.636,1643372525.492,0
2,6,7,1643372531.936,1643372538.146,1643372555.082,1
2,7,8,1643372561.066,1643372568.126,1643372589.766,1
2,8,9,1643372593.276,1643372601.376,1643372628.116,0
2,9,9,1643372634.245,1643372642.385,1643372673.641,0
2,10,8,1643372678.924,1643372686.184,1643372705.319,1
2,11,9,1643372709.264,1643372717.424,1643372746.623,0
2,12,9,1643372752.095,1643372760.385,1643372781.87,0
3,1,3,1643372892.452,1643372894.491,1643372904.727,1
3,2,4,1643372907.772,1643372910.852,1643372918.646,1
3,3,5,1643372923.692,1643372927.831,1643372940.986,1
3,4,6,1643372946.162,1643372951.231,1643372963.892,1
3,5,7,1643372973.421,1643372979.641,1643373010.513,0
3,6,7,1643373015.121,1643373021.31,1643373056.221,0
3,7,6,1643373061.12,1643373066.11,1643373091.747,1
3,8,7,1643373096.06,1643373102.1,1643373116.673,1
3,9,8,1643373122.34,1643373129.33,1643373142.661,0
3,10,8,1643373147.52,1643373154.57,1643373171.415,1
3,11,9,1643373178.76,1643373186.909,1643373222.534,0
3,12,9,1643373231.292,1643373239.422,1643373253.75,1
4,1,3,1643373327.271,1643373329.28,1643373339.813,1
4,2,4,1643373343.67,1643373346.74,1643373355.311,1
4,3,5,1643373358.239,1643373362.129,1643373372.899,1
4,4,6,1643373376.849,1643373381.88,1643373402.588,1
4,5,7,1643373405.519,1643373411.57,1643373425.166,1
4,6,8,1643373428.029,1643373435.07,1643373450.286,1
4,7,9,1643373454.25,1643373462.499,1643373477.349,1
4,8,10,1643373480.23,1643373489.359,1643373510.64,1
4,9,11,1643373513.529,1643373523.56,1643373547.069,1
4,10,12,1643373550.969,1643373561.979,1643373596.207,1
4,11,13,1643373599.284,1643373611.384,1643373634.332,1
4,12,14,1643373639.474,1643373652.634,1643373680.714,1
5,1,3,1643373758.009,1643373759.98,1643373765.016,1
5,2,4,1643373768.259,1643373771.32,1643373777.497,1
5,3,5,1643373780.969,1643373785.1,1643373796.787,1
5,4,6,1643373801.44,1643373806.57,1643373834.627,1
5,5,7,1643373841.32,1643373847.28,1643373861.68,1
5,6,8,1643373870.03,1643373877.26,1643373893.058,1
5,7,9,1643373901.31,1643373909.569,1643373935.415,1
5,8,10,1643373941.949,1643373951.268,1643373979.568,0
5,9,10,1643373984.358,1643373993.548,1643374064.935,0
5,10,9,1643374070.244,1643374078.414,1643374098.83,0
5,11,9,1643374105.734,1643374113.854,1643374134.697,0
5,12,8,1643374143.685,1643374150.784,1643374174.066,1
6,1,3,1643374320.972,1643374323.072,1643374330.216,1
6,2,4,1643374333.233,1643374336.342,1643374344.901,1
6,3,5,1643374349.792,1643374353.792,1643374365.405,1
6,4,6,1643374375.052,1643374379.972,1643374389.154,1
6,5,7,1643374401.902,1643374407.832,1643374427.302,0
6,6,7,1643374432.131,1643374438.181,1643374452.035,1
6,7,8,1643374460.751,1643374467.811,1643374484.612,1
6,8,9,1643374490.942,1643374499.051,1643374523.246,0
6,9,9,1643374530.532,1643374538.672,1643374571.06,0
6,10,8,1643374574.26,1643374581.23,1643374600.059,0
6,11,8,1643374603.98,1643374611.35,1643374644.159,0
6,12,7,1643374651.153,1643374657.203,1643374673.903,0
